67, 123, 184, 303, 0.988244, -1
40, 132, 235, 294, 0.978282, -1
65, 158, 197, 268, 0.976500, -1
203, 56, 198, 370, 0.976446, -1
209, 54, 199, 369, 0.965503, -1
75, 138, 173, 288, 0.963254, -1
52, 123, 218, 303, 0.945304, -1
61, 152, 204, 273, 0.935536, -1
225, 50, 160, 351, 0.933709, -1
70, 118, 187, 308, 0.923695, -1
188, 62, 222, 359, 0.922666, -1
60, 147, 194, 279, 0.918089, -1
68, 120, 182, 306, 0.916424, -1
202, 63, 200, 360, 0.906855, -1
214, 54, 185, 369, 0.906237, -1
49, 129, 214, 290, 0.905941, -1
179, 58, 227, 360, 0.905701, -1
214, 48, 187, 378, 0.901025, -1
83, 111, 143, 309, 0.898810, -1
214, 48, 194, 330, 0.891198, -1
192, 62, 229, 355, 0.871603, -1
46, 125, 230, 297, 0.862709, -1
68, 118, 168, 308, 0.837177, -1
47, 118, 211, 288, 0.816991, -1
230, 50, 178, 319, 0.794423, -1
239, 47, 163, 360, 0.764167, -1
84, 149, 177, 277, 0.758167, -1
204, 71, 207, 352, 0.754738, -1
218, 50, 161, 376, 0.740649, -1
58, 125, 238, 298, 0.664167, -1
74, 147, 201, 279, 0.637537, -1
187, 60, 228, 364, 0.636903, -1
47, 126, 220, 270, 0.612513, -1
170, 72, 260, 345, 0.553165, -1
195, 62, 218, 342, 0.543385, -1
51, 119, 193, 304, 0.506027, -1
87, 145, 164, 279, 0.503929, -1
84, 115, 153, 311, 0.496044, -1
222, 57, 170, 237, 0.461327, -1
118, 99, 259, 325, 0.451296, -1
101, 77, 353, 318, 0.440710, -1
438, 48, 181, 350, 0.419514, -1
134, 67, 305, 285, 0.408544, -1
158, 84, 270, 334, 0.407449, -1
462, 111, 135, 286, 0.361806, -1
180, 87, 255, 305, 0.349792, -1
209, 64, 214, 352, 0.316497, -1
187, 59, 194, 362, 0.251096, -1
35, 106, 262, 318, 0.237330, -1
63, 115, 350, 304, 0.218837, -1
58, 107, 246, 315, 0.218576, -1
198, 50, 289, 351, 0.203697, -1
224, 61, 197, 330, 0.181956, -1
158, 119, 435, 290, 0.165621, -1
16, 117, 119, 268, 0.149786, -1
170, 73, 405, 324, 0.126407, -1
203, 60, 200, 285, 0.121020, -1
186, 105, 195, 315, 0.106811, -1
33, 131, 204, 262, 0.085153, -1
426, 95, 176, 298, 0.083942, -1
104, 122, 438, 289, 0.082428, -1
15, 127, 113, 275, 0.068661, -1
73, 99, 174, 327, 0.052986, -1
166, 74, 305, 334, 0.052493, -1
100, 101, 162, 325, 0.048235, -1
34, 124, 208, 286, 0.043064, -1
389, 48, 224, 343, 0.039715, -1
290, 85, 292, 314, 0.038288, -1
7, 116, 80, 265, 0.037362, -1
172, 133, 250, 286, 0.036353, -1
21, 130, 181, 271, 0.032000, -1
374, 21, 237, 369, 0.031656, -1
85, 149, 238, 273, 0.031024, -1
20, 120, 154, 270, 0.027048, -1
343, 3, 268, 234, 0.023720, -1
197, 50, 246, 223, 0.023186, -1
23, 112, 193, 299, 0.023076, -1
46, 122, 108, 285, 0.020089, -1
454, 108, 170, 300, 0.018552, -1
95, 138, 200, 280, 0.017336, -1
194, 78, 274, 333, 0.016965, -1
324, 62, 273, 325, 0.016776, -1
197, 161, 184, 261, 0.016164, -1
154, 166, 179, 251, 0.015309, -1
244, 144, 351, 262, 0.015023, -1
