694, 145, 73, 94, 0.335975, -1
707, 103, 60, 114, 0.144585, -1
623, 282, 144, 199, 0.060428, -1
655, 144, 112, 97, 0.045519, -1
590, 300, 177, 95, 0.041628, -1
407, 400, 116, 170, 0.031144, -1
615, 153, 115, 93, 0.029632, -1
660, 159, 104, 85, 0.020292, -1
450, 282, 130, 218, 0.016608, -1
631, 637, 108, 181, 0.012625, -1
366, 360, 79, 147, 0.012469, -1
632, 310, 135, 145, 0.011887, -1
371, 348, 93, 145, 0.011056, -1
310, 796, 346, 89, 0.010437, -1
409, 42, 358, 116, 0.009838, -1
370, 4, 397, 226, 0.008999, -1
266, 815, 407, 65, 0.008231, -1
459, 297, 97, 214, 0.007956, -1
426, 3, 341, 233, 0.006579, -1
406, 17, 361, 186, 0.005219, -1
419, 543, 251, 437, 0.005101, -1
430, 0, 337, 256, 0.004126, -1
19, 220, 255, 803, 0.004066, -1
371, 363, 97, 189, 0.003738, -1
388, 481, 246, 485, 0.003592, -1
368, 55, 393, 131, 0.003356, -1
234, 127, 211, 550, 0.002981, -1
6, 267, 223, 505, 0.002970, -1
0, 223, 199, 800, 0.002933, -1
475, 20, 292, 211, 0.002738, -1
330, 281, 163, 313, 0.002736, -1
354, 385, 353, 571, 0.002664, -1
489, 504, 277, 487, 0.002571, -1
629, 142, 97, 103, 0.002495, -1
385, 185, 327, 655, 0.002481, -1
628, 359, 139, 101, 0.002443, -1
271, 804, 395, 66, 0.002302, -1
623, 50, 144, 175, 0.002099, -1
503, 20, 264, 153, 0.002004, -1
187, 69, 236, 600, 0.001947, -1
423, 367, 107, 185, 0.001909, -1
194, 278, 82, 198, 0.001900, -1
355, 704, 285, 273, 0.001890, -1
544, 249, 223, 287, 0.001734, -1
144, 83, 309, 619, 0.001645, -1
319, 685, 353, 263, 0.001635, -1
388, 252, 182, 431, 0.001615, -1
412, 502, 160, 128, 0.001598, -1
223, 679, 318, 322, 0.001525, -1
229, 719, 198, 297, 0.001499, -1
495, 523, 165, 177, 0.001469, -1
358, 337, 87, 202, 0.001458, -1
555, 4, 212, 793, 0.001398, -1
83, 48, 321, 793, 0.001375, -1
516, 25, 251, 177, 0.001314, -1
578, 303, 189, 155, 0.001279, -1
198, 647, 264, 340, 0.001238, -1
170, 257, 104, 256, 0.001226, -1
132, 138, 316, 748, 0.001218, -1
669, 143, 98, 96, 0.001115, -1
320, 589, 329, 390, 0.001085, -1
415, 343, 352, 595, 0.001067, -1
417, 43, 350, 779, 0.001065, -1
38, 355, 218, 116, 0.001021, -1
374, 332, 176, 329, 0.000995, -1
459, 454, 260, 528, 0.000988, -1
538, 378, 106, 213, 0.000958, -1
43, 387, 298, 636, 0.000947, -1
608, 348, 159, 395, 0.000920, -1
641, 12, 103, 173, 0.000891, -1
428, 464, 306, 309, 0.000773, -1
1, 394, 142, 586, 0.000772, -1
47, 98, 290, 875, 0.000682, -1
400, 696, 298, 301, 0.000656, -1
28, 273, 261, 629, 0.000656, -1
358, 85, 330, 665, 0.000617, -1
176, 105, 347, 655, 0.000611, -1
651, 302, 116, 435, 0.000607, -1
414, 177, 179, 443, 0.000592, -1
583, 0, 184, 484, 0.000544, -1
25, 418, 202, 603, 0.000544, -1
5, 347, 199, 601, 0.000532, -1
402, 347, 251, 289, 0.000524, -1
685, 16, 82, 182, 0.000508, -1
524, 3, 243, 580, 0.000498, -1
394, 12, 373, 255, 0.000482, -1
377, 361, 120, 193, 0.000468, -1
413, 2, 354, 246, 0.000466, -1
195, 709, 195, 314, 0.000452, -1
538, 169, 214, 617, 0.000446, -1
339, 39, 428, 165, 0.000439, -1
9, 593, 211, 418, 0.000434, -1
307, 401, 329, 546, 0.000418, -1
26, 501, 239, 522, 0.000394, -1
559, 31, 208, 155, 0.000390, -1
440, 243, 197, 447, 0.000385, -1
66, 732, 109, 246, 0.000381, -1
326, 224, 210, 470, 0.000367, -1
387, 19, 380, 199, 0.000357, -1
83, 294, 175, 245, 0.000353, -1
397, 7, 361, 266, 0.000348, -1
434, 359, 289, 308, 0.000345, -1
550, 331, 97, 219, 0.000345, -1
43, 362, 213, 563, 0.000345, -1
366, 349, 94, 158, 0.000344, -1
298, 204, 333, 637, 0.000339, -1
637, 349, 130, 494, 0.000337, -1
635, 408, 116, 329, 0.000334, -1
270, 264, 182, 459, 0.000330, -1
505, 417, 213, 475, 0.000330, -1
253, 308, 160, 405, 0.000306, -1
150, 585, 374, 408, 0.000295, -1
11, 105, 374, 207, 0.000282, -1
490, 228, 277, 721, 0.000264, -1
619, 270, 129, 588, 0.000264, -1
14, 170, 225, 785, 0.000264, -1
105, 625, 343, 374, 0.000264, -1
8, 657, 273, 355, 0.000247, -1
285, 228, 206, 421, 0.000235, -1
38, 413, 261, 436, 0.000225, -1
269, 717, 432, 212, 0.000216, -1
193, 242, 298, 697, 0.000212, -1
361, 381, 196, 383, 0.000208, -1
319, 106, 213, 464, 0.000193, -1
94, 167, 280, 833, 0.000189, -1
468, 10, 299, 555, 0.000182, -1
352, 456, 244, 339, 0.000167, -1
552, 336, 215, 593, 0.000161, -1
77, 794, 400, 198, 0.000158, -1
97, 226, 184, 610, 0.000158, -1
245, 142, 161, 277, 0.000155, -1
290, 218, 266, 343, 0.000145, -1
562, 507, 102, 295, 0.000135, -1
361, 101, 236, 582, 0.000134, -1
12, 571, 121, 433, 0.000132, -1
452, 297, 300, 315, 0.000132, -1
34, 40, 253, 833, 0.000126, -1
24, 337, 268, 338, 0.000125, -1
228, 254, 161, 554, 0.000124, -1
341, 300, 100, 213, 0.000117, -1
178, 431, 247, 224, 0.000116, -1
106, 472, 121, 268, 0.000116, -1
251, 76, 246, 531, 0.000115, -1
120, 718, 327, 293, 0.000113, -1
481, 399, 157, 155, 0.000113, -1
280, 728, 286, 272, 0.000108, -1
325, 82, 239, 519, 0.000107, -1
227, 532, 255, 437, 0.000105, -1
555, 274, 212, 61, 0.000104, -1
325, 71, 377, 124, 0.000102, -1
108, 718, 208, 305, 0.000102, -1
87, 83, 312, 509, 0.000101, -1
532, 325, 118, 362, 0.000100, -1
492, 0, 275, 474, 0.000100, -1
519, 362, 131, 258, 0.000097, -1
70, 386, 214, 637, 0.000096, -1
381, 324, 247, 233, 0.000093, -1
162, 258, 190, 467, 0.000092, -1
47, 144, 131, 155, 0.000090, -1
469, 461, 231, 65, 0.000089, -1
192, 68, 372, 484, 0.000088, -1
423, 19, 344, 133, 0.000087, -1
3, 718, 220, 280, 0.000083, -1
481, 88, 231, 675, 0.000081, -1
603, 545, 98, 224, 0.000080, -1
383, 308, 117, 196, 0.000078, -1
245, 752, 427, 195, 0.000077, -1
557, 340, 210, 465, 0.000074, -1
400, 86, 209, 485, 0.000074, -1
130, 822, 291, 201, 0.000071, -1
483, 238, 189, 443, 0.000069, -1
72, 691, 210, 332, 0.000069, -1
457, 278, 142, 220, 0.000068, -1
596, 234, 120, 107, 0.000067, -1
520, 240, 158, 474, 0.000066, -1
272, 203, 136, 175, 0.000066, -1
630, 602, 77, 196, 0.000064, -1
52, 104, 229, 714, 0.000064, -1
433, 25, 297, 189, 0.000064, -1
610, 190, 157, 66, 0.000061, -1
531, 460, 127, 355, 0.000056, -1
63, 431, 229, 312, 0.000055, -1
298, 429, 274, 211, 0.000055, -1
131, 100, 206, 514, 0.000055, -1
607, 400, 133, 122, 0.000055, -1
356, 526, 223, 314, 0.000052, -1
248, 150, 329, 615, 0.000051, -1
269, 127, 200, 450, 0.000051, -1
67, 640, 280, 284, 0.000050, -1
644, 124, 111, 107, 0.000050, -1
574, 191, 193, 52, 0.000048, -1
155, 624, 211, 399, 0.000048, -1
0, 497, 87, 288, 0.000047, -1
496, 237, 245, 560, 0.000047, -1
62, 578, 194, 445, 0.000046, -1
519, 480, 167, 344, 0.000046, -1
292, 422, 337, 194, 0.000045, -1
472, 174, 295, 670, 0.000045, -1
216, 131, 219, 356, 0.000044, -1
197, 364, 110, 237, 0.000043, -1
132, 239, 197, 571, 0.000042, -1
485, 415, 116, 141, 0.000041, -1
463, 375, 97, 159, 0.000038, -1
486, 407, 164, 179, 0.000038, -1
354, 70, 201, 140, 0.000038, -1
262, 620, 326, 230, 0.000036, -1
501, 347, 186, 193, 0.000035, -1
69, 914, 62, 97, 0.000035, -1
5, 445, 149, 505, 0.000035, -1
84, 443, 154, 322, 0.000034, -1
134, 429, 330, 545, 0.000031, -1
526, 384, 183, 440, 0.000031, -1
89, 609, 226, 414, 0.000030, -1
269, 528, 335, 427, 0.000028, -1
