447, 74, 246, 525, 0.128501, -1
383, 72, 316, 449, 0.125610, -1
259, 462, 89, 125, 0.116614, -1
445, 63, 245, 455, 0.112395, -1
245, 451, 88, 135, 0.108526, -1
334, 48, 407, 456, 0.051661, -1
376, 44, 311, 442, 0.036333, -1
440, 66, 237, 495, 0.035558, -1
214, 322, 208, 288, 0.034806, -1
261, 38, 455, 407, 0.034132, -1
211, 289, 180, 318, 0.028853, -1
170, 35, 605, 419, 0.027100, -1
414, 36, 298, 518, 0.026427, -1
82, 322, 320, 295, 0.023345, -1
260, 451, 83, 127, 0.019668, -1
240, 492, 67, 94, 0.019500, -1
379, 34, 355, 557, 0.016631, -1
426, 60, 264, 488, 0.015120, -1
314, 16, 303, 421, 0.013556, -1
411, 36, 273, 576, 0.013291, -1
218, 493, 68, 87, 0.012662, -1
424, 95, 318, 507, 0.011936, -1
247, 490, 84, 106, 0.010863, -1
37, 168, 399, 451, 0.010637, -1
181, 318, 176, 300, 0.010554, -1
237, 439, 86, 119, 0.009229, -1
240, 35, 539, 380, 0.007501, -1
453, 102, 229, 499, 0.007396, -1
227, 457, 85, 125, 0.007314, -1
212, 26, 342, 411, 0.005974, -1
135, 187, 266, 437, 0.005756, -1
147, 304, 184, 318, 0.005558, -1
217, 436, 101, 120, 0.005531, -1
327, 22, 394, 546, 0.004949, -1
340, 66, 436, 526, 0.004893, -1
461, 133, 378, 472, 0.004749, -1
268, 14, 314, 392, 0.004065, -1
308, 0, 232, 499, 0.003963, -1
283, 40, 431, 546, 0.003113, -1
347, 0, 381, 603, 0.003064, -1
472, 38, 261, 572, 0.002737, -1
78, 177, 315, 453, 0.002507, -1
625, 87, 242, 525, 0.002230, -1
112, 306, 351, 306, 0.002133, -1
114, 219, 315, 385, 0.002065, -1
143, 100, 302, 505, 0.001971, -1
91, 233, 221, 393, 0.001938, -1
451, 166, 341, 434, 0.001828, -1
40, 294, 320, 325, 0.001787, -1
90, 101, 285, 514, 0.001570, -1
53, 175, 299, 446, 0.001534, -1
226, 84, 236, 517, 0.001406, -1
113, 336, 209, 285, 0.001331, -1
158, 7, 372, 395, 0.001106, -1
340, 144, 124, 166, 0.001021, -1
64, 100, 346, 513, 0.001016, -1
249, 31, 491, 365, 0.001006, -1
434, 0, 313, 542, 0.000954, -1
409, 152, 312, 450, 0.000948, -1
210, 322, 339, 290, 0.000911, -1
265, 460, 91, 114, 0.000882, -1
426, 13, 386, 566, 0.000875, -1
266, 0, 235, 431, 0.000818, -1
253, 299, 201, 309, 0.000801, -1
96, 378, 320, 223, 0.000784, -1
378, 58, 269, 551, 0.000740, -1
162, 6, 524, 376, 0.000739, -1
378, 107, 337, 499, 0.000689, -1
166, 460, 94, 109, 0.000686, -1
487, 303, 209, 319, 0.000606, -1
205, 132, 433, 476, 0.000593, -1
282, 52, 359, 558, 0.000563, -1
85, 16, 548, 407, 0.000530, -1
425, 0, 369, 595, 0.000522, -1
209, 95, 319, 507, 0.000469, -1
572, 156, 286, 448, 0.000458, -1
792, 0, 99, 645, 0.000444, -1
615, 114, 222, 499, 0.000418, -1
424, 308, 334, 314, 0.000389, -1
256, 17, 393, 593, 0.000387, -1
377, 18, 286, 404, 0.000361, -1
362, 156, 108, 135, 0.000360, -1
77, 350, 206, 260, 0.000342, -1
502, 206, 213, 410, 0.000336, -1
242, 485, 83, 116, 0.000325, -1
197, 175, 276, 424, 0.000324, -1
313, 0, 341, 607, 0.000318, -1
213, 0, 379, 517, 0.000303, -1
92, 54, 420, 537, 0.000300, -1
19, 100, 285, 506, 0.000289, -1
325, 178, 332, 431, 0.000287, -1
807, 81, 84, 566, 0.000285, -1
95, 30, 254, 545, 0.000283, -1
564, 0, 299, 596, 0.000264, -1
390, 14, 373, 427, 0.000257, -1
40, 85, 295, 505, 0.000253, -1
214, 0, 258, 570, 0.000253, -1
373, 8, 430, 446, 0.000250, -1
541, 81, 231, 526, 0.000245, -1
228, 497, 80, 102, 0.000232, -1
408, 247, 282, 371, 0.000222, -1
164, 448, 96, 97, 0.000219, -1
267, 447, 86, 106, 0.000211, -1
836, 102, 55, 545, 0.000205, -1
288, 306, 387, 309, 0.000205, -1
792, 260, 99, 380, 0.000189, -1
716, 315, 173, 308, 0.000182, -1
384, 331, 217, 292, 0.000180, -1
553, 259, 213, 343, 0.000176, -1
276, 0, 276, 308, 0.000163, -1
326, 0, 230, 595, 0.000159, -1
0, 497, 55, 100, 0.000156, -1
197, 47, 427, 566, 0.000155, -1
330, 184, 150, 122, 0.000135, -1
537, 317, 195, 300, 0.000133, -1
348, 340, 371, 277, 0.000131, -1
46, 0, 238, 588, 0.000128, -1
848, 0, 43, 647, 0.000121, -1
504, 255, 320, 357, 0.000118, -1
359, 225, 189, 369, 0.000116, -1
859, 137, 32, 510, 0.000110, -1
51, 0, 370, 454, 0.000103, -1
1, 0, 373, 424, 0.000097, -1
456, 375, 337, 239, 0.000097, -1
246, 0, 442, 340, 0.000094, -1
333, 336, 208, 274, 0.000094, -1
566, 316, 273, 289, 0.000092, -1
338, 98, 235, 511, 0.000091, -1
238, 0, 262, 592, 0.000089, -1
773, 146, 118, 481, 0.000089, -1
413, 159, 206, 455, 0.000087, -1
254, 187, 312, 410, 0.000085, -1
667, 188, 224, 439, 0.000082, -1
498, 31, 299, 551, 0.000078, -1
80, 0, 367, 589, 0.000076, -1
267, 225, 243, 367, 0.000075, -1
621, 0, 228, 579, 0.000074, -1
158, 78, 245, 530, 0.000072, -1
6, 56, 384, 530, 0.000065, -1
826, 0, 65, 647, 0.000056, -1
211, 554, 150, 93, 0.000055, -1
644, 0, 231, 605, 0.000051, -1
114, 0, 352, 523, 0.000049, -1
50, 6, 454, 584, 0.000047, -1
78, 0, 177, 590, 0.000046, -1
186, 0, 156, 52, 0.000042, -1
839, 0, 52, 638, 0.000039, -1
165, 7, 362, 609, 0.000037, -1
108, 0, 411, 361, 0.000037, -1
117, 0, 247, 412, 0.000037, -1
417, 129, 110, 115, 0.000036, -1
136, 0, 559, 290, 0.000036, -1
150, 0, 159, 53, 0.000035, -1
0, 0, 53, 36, 0.000032, -1
34, 0, 213, 558, 0.000030, -1
809, 0, 82, 647, 0.000029, -1
2, 0, 315, 429, 0.000029, -1
78, 48, 230, 569, 0.000027, -1
724, 115, 167, 515, 0.000027, -1
184, 0, 264, 551, 0.000026, -1
587, 534, 122, 113, 0.000025, -1
157, 529, 113, 118, 0.000024, -1
235, 0, 272, 323, 0.000024, -1
129, 0, 294, 382, 0.000024, -1
15, 0, 209, 71, 0.000023, -1
66, 0, 556, 285, 0.000023, -1
20, 0, 145, 55, 0.000022, -1
114, 0, 161, 54, 0.000022, -1
139, 533, 115, 114, 0.000021, -1
39, 0, 272, 419, 0.000018, -1
105, 537, 115, 109, 0.000018, -1
70, 541, 115, 106, 0.000018, -1
0, 0, 319, 227, 0.000017, -1
121, 535, 115, 112, 0.000016, -1
71, 0, 229, 70, 0.000015, -1
594, 0, 235, 465, 0.000014, -1
37, 0, 228, 71, 0.000014, -1
211, 523, 114, 124, 0.000014, -1
605, 533, 114, 114, 0.000013, -1
46, 0, 160, 56, 0.000013, -1
78, 0, 164, 56, 0.000013, -1
227, 517, 116, 130, 0.000012, -1
333, 0, 297, 324, 0.000012, -1
245, 0, 237, 612, 0.000011, -1
566, 0, 219, 460, 0.000011, -1
0, 0, 97, 56, 0.000010, -1
35, 0, 359, 595, 0.000010, -1
863, 0, 28, 647, 0.000010, -1
156, 0, 410, 330, 0.000010, -1
588, 561, 138, 86, 0.000010, -1
176, 527, 111, 120, 0.000010, -1
62, 0, 288, 396, 0.000009, -1
306, 0, 157, 58, 0.000009, -1
194, 526, 112, 121, 0.000008, -1
704, 0, 187, 589, 0.000008, -1
234, 0, 383, 258, 0.000008, -1
191, 0, 265, 313, 0.000007, -1
205, 497, 126, 124, 0.000007, -1
194, 0, 361, 254, 0.000007, -1
271, 0, 158, 55, 0.000007, -1
117, 0, 278, 614, 0.000006, -1
0, 0, 101, 32, 0.000006, -1
168, 0, 123, 32, 0.000006, -1
51, 0, 262, 327, 0.000005, -1
480, 0, 330, 550, 0.000005, -1
19, 0, 114, 31, 0.000005, -1
22, 0, 111, 50, 0.000005, -1
0, 539, 97, 108, 0.000005, -1
150, 0, 125, 33, 0.000005, -1
0, 0, 201, 70, 0.000005, -1
221, 0, 120, 29, 0.000005, -1
238, 0, 120, 28, 0.000005, -1
203, 0, 121, 29, 0.000005, -1
33, 0, 283, 553, 0.000004, -1
186, 0, 122, 30, 0.000004, -1
256, 0, 120, 28, 0.000004, -1
520, 0, 326, 416, 0.000004, -1
273, 0, 120, 29, 0.000004, -1
226, 0, 492, 208, 0.000004, -1
133, 0, 126, 33, 0.000004, -1
0, 0, 541, 271, 0.000004, -1
290, 0, 121, 30, 0.000004, -1
324, 0, 127, 34, 0.000003, -1
0, 0, 116, 24, 0.000003, -1
175, 5, 199, 633, 0.000003, -1
0, 0, 358, 385, 0.000003, -1
60, 0, 396, 327, 0.000003, -1
114, 0, 127, 34, 0.000003, -1
307, 0, 122, 30, 0.000003, -1
11, 0, 274, 573, 0.000003, -1
0, 0, 237, 192, 0.000003, -1
153, 0, 347, 249, 0.000003, -1
0, 0, 387, 196, 0.000003, -1
80, 0, 128, 36, 0.000003, -1
8, 141, 230, 461, 0.000003, -1
63, 0, 126, 38, 0.000003, -1
97, 0, 128, 35, 0.000003, -1
47, 0, 124, 37, 0.000003, -1
34, 0, 119, 49, 0.000003, -1
31, 0, 123, 35, 0.000003, -1
460, 0, 129, 36, 0.000003, -1
339, 0, 128, 37, 0.000003, -1
580, 0, 277, 562, 0.000002, -1
2, 0, 115, 49, 0.000002, -1
0, 0, 391, 332, 0.000002, -1
477, 0, 253, 445, 0.000002, -1
331, 0, 166, 63, 0.000002, -1
9, 0, 365, 230, 0.000002, -1
0, 0, 480, 203, 0.000002, -1
742, 0, 149, 470, 0.000002, -1
441, 0, 132, 35, 0.000002, -1
284, 0, 388, 246, 0.000002, -1
15, 0, 322, 610, 0.000002, -1
0, 0, 420, 266, 0.000002, -1
18, 287, 241, 313, 0.000002, -1
94, 0, 267, 328, 0.000002, -1
852, 0, 39, 475, 0.000001, -1
126, 0, 512, 211, 0.000001, -1
352, 0, 132, 41, 0.000001, -1
285, 0, 230, 75, 0.000001, -1
447, 0, 272, 427, 0.000001, -1
327, 0, 461, 347, 0.000001, -1
56, 0, 521, 213, 0.000001, -1
0, 0, 256, 406, 0.000001, -1
640, 0, 251, 463, 0.000001, -1
0, 0, 197, 426, 0.000001, -1
304, 0, 516, 216, 0.000001, -1
447, 0, 352, 388, 0.000001, -1
0, 0, 209, 538, 0.000001, -1
366, 0, 477, 216, 0.000001, -1
0, 0, 297, 332, 0.000001, -1
0, 0, 172, 231, 0.000001, -1
394, 0, 286, 309, 0.000001, -1
818, 0, 73, 449, 0.000001, -1
370, 0, 131, 39, 0.000001, -1
58, 0, 371, 230, 0.000001, -1
433, 0, 365, 230, 0.000001, -1
1, 25, 225, 487, 0.000001, -1
0, 105, 182, 477, 0.000001, -1
145, 0, 267, 332, 0.000000, -1
0, 44, 111, 525, 0.000000, -1
0, 206, 146, 394, 0.000000, -1
0, 284, 175, 312, 0.000000, -1
442, 0, 399, 344, 0.000000, -1
3, 346, 217, 257, 0.000000, -1
351, 0, 465, 290, 0.000000, -1
0, 0, 216, 365, 0.000000, -1
0, 0, 115, 379, 0.000000, -1
540, 0, 262, 288, 0.000000, -1
0, 0, 151, 376, 0.000000, -1
592, 0, 278, 385, 0.000000, -1
489, 0, 266, 310, 0.000000, -1
0, 299, 107, 295, 0.000000, -1
629, 0, 236, 246, 0.000000, -1
657, 0, 234, 331, 0.000000, -1
0, 0, 121, 270, 0.000000, -1
542, 0, 321, 293, 0.000000, -1
720, 0, 171, 380, 0.000000, -1
0, 0, 117, 506, 0.000000, -1
759, 0, 132, 363, 0.000000, -1
